Sample_ID,Site,Sample_type,Size_class,PFBA,PFPeA,PFBS,PFHxA,4:2FTS,PFPeS,GenX,ADONA,PFHpA,PFHxS,PFOA,PFHpS,6:2FTS,9Cl-PF3ONS,PFNA,PFOS,PFNS,8:2FTS,PFDA,NMeFOSAA,PFOSA,PFDS,NEtFOSAA,11-ClPF3OUdS,PFUnA,PFDoA,PFTrDA,PFTA
RB_w1_6-02,Russell Brook,Water,NA,0,0.0067,0.0104,0.008,0,0,0,0,0.0105,0,0.0084,0,0.0518,0,0.0108,0.0191,0,0,0,0,0,0,0,0,0,0,0,0
RB_w2_6-02,Russell Brook,Water,NA,0,0.007,0.009,0.0079,0,0,0,0,0.0104,0,0.008,0,0.0424,0,0.0139,0.0217,0,0,0,0,0,0,0,0,0,0.0056,0,0
RB_w3_6-02,Russell Brook,Water,NA,0,0.0048,0.0081,0.0071,0,0,0,0,0.0102,0,0.0075,0,0.0477,0,0.0142,0.0184,0,0,0,0,0,0,0,0,0,0,0,0
HB_w1_6-02,Hop Brook,Water,NA,0,0,0.0039,0,0,0,0,0,0.0043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB_w2_6-02,Hop Brook,Water,NA,0,0,0.0039,0,0,0,0,0,0.0044,0,0,0,0,0,0,0.0024,0,0,0,0,0,0,0,0,0,0,0,0
HB_w3_6-02,Hop Brook,Water,NA,0,0,0.004,0,0,0,0,0,0.0044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RB_w1_end,Russell Brook,Water,NA,0,0.0067,0.0091,0.0064,0,0.0036,0,0,0.0099,0,0.0066,0,0.0361,0,0.009,0.0144,0,0,0,0,0,0,0,0,0,0,0,0
RB_w2_end,Russell Brook,Water,NA,0,0.0071,0.0092,0.0064,0,0.0037,0,0,0.0092,0,0.0079,0,0.0302,0,0.0088,0.0139,0,0.0079,0,0,0,0,0,0,0,0,0,0
RB_w3_end,Russell Brook,Water,NA,0,0.0094,0.0109,0.0081,0,0.0038,0,0,0.0108,0.0032,0.0104,0,0.0407,0,0.0141,0.0194,0,0.0076,0,0,0,0,0,0,0,0,0,0
HB_w1_end,Hop Brook,Water,NA,0,0,0.004,0.0028,0,0,0,0,0.0045,0,0,0,0,0,0,0.0028,0,0,0,0,0,0,0,0,0,0,0,0
HB_w2_end,Hop Brook,Water,NA,0,0,0.0039,0.0031,0,0,0,0,0.0045,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0
HB_w3_end,Hop Brook,Water,NA,0,0,0.0039,0.0029,0,0,0,0,0,0,0,0,0,0,0,0.0028,0,0,0,0,0,0,0,0,0,0,0,0
Rat_W1_421,Ratlum Brook,Water,NA,0,0,0,0,0,0,0,0,0,0.0042,0,0,0,0,0,0.0039,0,0,0,0,0,0,0,0,0,0,0,0
Rat_W2_421,Ratlum Brook,Water,NA,0,0,0,0,0,0,0,0,0,0.0044,0.0055,0,0,0,0,0.0046,0,0,0,0,0,0,0,0.0031,0,0.004,0,0
Rat_W3_421,Ratlum Brook,Water,NA,0,0,0,0,0,0,0,0,0,0.0044,0,0,0,0,0,0.0041,0,0,0,0,0,0,0,0,0,0,0,0
Peq_W1_424,Pequabuck River,Water,NA,0,0,0,0.0026,0,0,0,0,0.0026,0.0053,0.0088,0,0,0,0,0.0078,0,0,0,0,0,0,0,0,0,0,0,0
Peq_W2_424,Pequabuck River,Water,NA,0,0,0,0,0,0,0,0,0.0026,0.0053,0.0062,0,0,0,0,0.0075,0,0,0,0,0,0,0,0,0,0,0,0
Peq_W3_424,Pequabuck River,Water,NA,0,0,0,0.0032,0,0,0,0,0.0021,0.0055,0.0081,0,0,0,0,0.0093,0,0,0,0,0,0,0,0,0,0,0,0
Bur_W1_427,Burr Pond Brook,Water,NA,0,0,0,0,0,0,0,0,0.002,0.0069,0.008,0,0,0,0,0.0093,0,0,0,0,0,0,0,0,0,0,0,0
Bur_W2_427,Burr Pond Brook,Water,NA,0,0,0,0,0,0,0,0,0.0021,0.0068,0.0081,0,0,0,0,0.0091,0,0,0,0,0,0,0,0,0,0,0,0
Bur_W3_427,Burr Pond Brook,Water,NA,0,0,0,0,0,0,0,0,0.0021,0.007,0.0061,0,0,0,0,0.0094,0,0,0,0,0,0,0,0,0,0,0,0
Rat_W1_July,Ratlum Brook,Water,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rat_W2_July,Ratlum Brook,Water,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rat_W3_July,Ratlum Brook,Water,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peq_W1_July,Pequabuck River,Water,NA,0,0,0.0028,0.0049,0,0,0,0,0.0021,0.0041,0.0036,0,0.0051,0,0,0.0073,0,0,0,0,0,0,0,0,0,0,0,0
Peq_W2_July,Pequabuck River,Water,NA,0,0,0.0031,0.0046,0,0,0,0,0,0.0039,0.0041,0,0.0051,0,0,0.0071,0,0,0,0,0,0,0,0,0,0,0,0
Peq_W3_July,Pequabuck River,Water,NA,0,0,0.0026,0.0045,0,0,0,0,0,0.0038,0.0035,0,0.0052,0,0,0.0062,0,0,0,0,0,0,0,0,0,0,0,0
Bur_W1_July,Burr Pond Brook,Water,NA,0,0,0,0,0,0,0,0,0,0.004,0.0031,0,0,0,0,0.0084,0,0,0,0,0,0,0,0,0,0,0,0
Bur_W2_July,Burr Pond Brook,Water,NA,0,0,0,0,0,0,0,0,0,0.0041,0.0033,0,0,0,0,0.0072,0,0,0,0,0,0,0,0,0,0,0,0
Bur_W3_July,Burr Pond Brook,Water,NA,0,0,0,0,0,0,0,0,0.0018,0.0039,0.0022,0,0,0,0,0.0067,0,0,0,0,0,0,0,0,0,0,0,0
RB_sed1_6-02,Russell Brook,Sediment,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0
RB_sed2_6-02,Russell Brook,Sediment,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0
RB_sed3_6-02,Russell Brook,Sediment,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0
HB_sed1_6-03,Hop Brook,Sediment,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB_sed2_6-03,Hop Brook,Sediment,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB_sed3_6-03,Hop Brook,Sediment,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0
RB_sed1_end,Russell Brook,Sediment,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RB_sed2_end,Russell Brook,Sediment,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RB_sed3_end,Russell Brook,Sediment,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB_sed1_end,Hop Brook,Sediment,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0
HB_sed2_end,Hop Brook,Sediment,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB_sed3_end,Hop Brook,Sediment,NA,0,0,0,0,0,0,0,0,8.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rat_sed1_A23,Ratlum Brook,Sediment,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rat_sed2_A23,Ratlum Brook,Sediment,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0
Rat_sed3_A23,Ratlum Brook,Sediment,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0
Peq_sed1_A23,Pequabuck River,Sediment,NA,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peq_sed2_A23,Pequabuck River,Sediment,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0
Peq_sed3_A23,Pequabuck River,Sediment,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bur_sed1_A23,Burr Pond Brook,Sediment,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0
Bur_sed2_A23,Burr Pond Brook,Sediment,NA,0,0,0,0,0,0,0,0,0,0,2.79,0,0,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0
Bur_sed3_A23,Burr Pond Brook,Sediment,NA,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rat_sed1_J23,Ratlum Brook,Sediment,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rat_sed2_J23,Ratlum Brook,Sediment,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rat_sed3_J23,Ratlum Brook,Sediment,NA,0,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0
Peq_sed1_J23,Pequabuck River,Sediment,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peq_sed2_J23,Pequabuck River,Sediment,NA,0,0,0,1.99,0,0,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0
Peq_sed3_J23,Pequabuck River,Sediment,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0
Bur_sed1_J23,Burr Pond Brook,Sediment,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bur_sed2_J23,Burr Pond Brook,Sediment,NA,0,0,0,0,0,0,0,0,0,0,2.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bur_sed3_J23,Burr Pond Brook,Sediment,NA,0,0,0,0,0,0,0,0,0,0,2.79,0,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0
HB_E_Dip1,Hop Brook,Emergent_Diptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0
HB_E_Dip2,Hop Brook,Emergent_Diptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0,0
HB_E_Dip3,Hop Brook,Emergent_Diptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0
RB_E_Dip1,Russell Brook,Emergent_Diptera,NA,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,30.4,31.8,0,0,0,0,0,0,0,0,0,0,0,0
RB_E_Dip2,Russell Brook,Emergent_Diptera,NA,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,35.26,25.73,0,0,0,0,0,0,0,0,0,0,0,0
RB_E_Dip3,Russell Brook,Emergent_Diptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,6.07,0,41.14,33.05,0,0,0,0,0,0,0,0,0,0,0,0
HB_B_dip1,Hop Brook,Larval_Diptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB_B_dip2,Hop Brook,Larval_Diptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
