pfas_type,Diptera,Ephemeroptera,Odonata,Plecoptera,Trichoptera
PFHxA,2.6 (-4.2 to 14.8),24.3 (-2 to 59),0 (-0.2 to 0.9),-13 (-127.3 to 27.9),157.6 (67.1 to 281.2)
PFHpA,1.5 (-0.4 to 9.8),0.4 (-5.4 to 7.3),0 (-0.1 to 0.1),4.4 (-68.9 to 27.9),-31 (-82.2 to 6)
PFOA,96.1 (64 to 146.7),-636.1 (-1001.5 to -315.7),-1.1 (-3.6 to 2.6),-346.2 (-455 to -245.3),151 (60.5 to 259.1)
PFNA,103.3 (72.6 to 144),0.6 (-49.3 to 24.2),-0.9 (-2.5 to 0.5),-126.5 (-256 to -18),27.2 (-70.1 to 116.5)
PFDA,1.4 (-0.4 to 7.7),0 (-8 to 4.1),-0.1 (-0.2 to 0.1),-184.8 (-298.3 to -99.2),13.7 (-15.8 to 45.7)
PFUnA,51.6 (32.4 to 81.9),2.3 (-30.9 to 33.7),-0.3 (-1.8 to 2.1),-189.4 (-377.1 to -55.1),-67.6 (-131.2 to 8.6)
PFDoA,0.9 (-0.5 to 5.3),0 (-9.4 to 4.3),0 (-0.1 to 0.1),-244 (-358.4 to -134.2),-4.2 (-32 to 23.4)
PFBS,0.1 (0 to 0.5),0 (-0.4 to 0.2),0 (0 to 0),0.1 (-6 to 4.5),-0.8 (-5.1 to 0.4)
PFHxS,0.4 (-1.8 to 1.4),0.1 (-5.5 to 4.3),0 (-0.1 to 0.1),-52.9 (-98.5 to -20.5),24 (10.6 to 44)
PFOS,190.8 (145.7 to 236),-128.8 (-547.5 to 326.1),-91.9 (-130 to -58.2),-1146.3 (-1438.8 to -871.7),771.1 (622.7 to 930)
6:2FTS,1.9 (0.2 to 6.4),0.2 (-3.2 to 4),0 (-0.1 to 0.1),0.7 (-51.4 to 27.6),-24.7 (-54.3 to 2.4)
8:2FTS,0.6 (-0.4 to 3),0.1 (-2.7 to 2.1),0 (0 to 0.1),-0.2 (-38.5 to 18.5),-5.7 (-20.8 to 7.8)
