pfas_type,taxon,Larval,units
6:2FTS,Diptera,0.018 (0.00016 to 1.8),ppb (median and 95% CrI)
8:2FTS,Diptera,0.013 (0.00023 to 0.7),ppb (median and 95% CrI)
PFHxA,Diptera,0.095 (0.0012 to 2.9),ppb (median and 95% CrI)
PFHpA,Diptera,0.021 (0.00023 to 1.8),ppb (median and 95% CrI)
PFOA,Diptera,0.15 (0.024 to 1.1),ppb (median and 95% CrI)
PFNA,Diptera,0.73 (0.14 to 2.8),ppb (median and 95% CrI)
PFDA,Diptera,0.03 (0.00043 to 0.94),ppb (median and 95% CrI)
PFUnA,Diptera,0.37 (0.074 to 1.6),ppb (median and 95% CrI)
PFDoA,Diptera,0.021 (0.00034 to 1.5),ppb (median and 95% CrI)
PFBS,Diptera,0.0017 (9.9e-06 to 0.48),ppb (median and 95% CrI)
PFHxS,Diptera,0.014 (0.00016 to 2.7),ppb (median and 95% CrI)
PFOS,Diptera,3.5 (2.3 to 5.5),ppb (median and 95% CrI)
6:2FTS,Ephemeroptera,0.01 (5.2e-07 to 2.3),ppb (median and 95% CrI)
8:2FTS,Ephemeroptera,0.0065 (3.2e-07 to 1.2),ppb (median and 95% CrI)
PFHxA,Ephemeroptera,0.077 (3e-05 to 8.1),ppb (median and 95% CrI)
PFHpA,Ephemeroptera,0.0093 (1.3e-07 to 1.8),ppb (median and 95% CrI)
PFOA,Ephemeroptera,12 (5.6 to 24),ppb (median and 95% CrI)
PFNA,Ephemeroptera,0.16 (6.3e-05 to 11),ppb (median and 95% CrI)
PFDA,Ephemeroptera,0.024 (2e-06 to 3.2),ppb (median and 95% CrI)
PFUnA,Ephemeroptera,0.2 (3.3e-05 to 8.3),ppb (median and 95% CrI)
PFDoA,Ephemeroptera,0.021 (1.8e-06 to 2.4),ppb (median and 95% CrI)
PFBS,Ephemeroptera,0.00079 (8e-09 to 0.65),ppb (median and 95% CrI)
PFHxS,Ephemeroptera,0.0081 (6.7e-07 to 1.5),ppb (median and 95% CrI)
PFOS,Ephemeroptera,17 (11 to 29),ppb (median and 95% CrI)
6:2FTS,Megaloptera,0.0019 (2.8e-08 to 4),ppb (median and 95% CrI)
8:2FTS,Megaloptera,0.0012 (3.8e-07 to 1),ppb (median and 95% CrI)
PFHxA,Megaloptera,0.016 (1.5e-07 to 4.7),ppb (median and 95% CrI)
PFHpA,Megaloptera,0.0028 (2e-09 to 13),ppb (median and 95% CrI)
