site,pfas_type,Water,Sediment,Detritus,Seston,Biofilm,Larval,Emergent,Tetragnathidae,units
Burr Pond Brook,6:2FTS,0.0036 (0.0016 to 0.0071),0.0071 (2.3e-05 to 0.88),0.012 (0.00012 to 0.74),0.016 (0.00028 to 0.71),0.14 (0.036 to 0.5),0.37 (0.054 to 2.4),1.6 (0.19 to 14),0.65 (0.14 to 3.1),ppb (posterior median and 95% CrI)
Hop Brook,6:2FTS,0.00053 (0.00017 to 0.0016),6e-04 (1.4e-06 to 0.1),6.2e-05 (8e-08 to 0.0033),0.00018 (1.9e-07 to 0.017),0.00069 (0.00011 to 0.0043),0.004 (0.00047 to 0.86),0.005 (0.00028 to 0.23),0.0038 (5e-04 to 0.03),ppb (posterior median and 95% CrI)
Pequabuck River,6:2FTS,0.0046 (0.0021 to 0.0089),0.0022 (4.8e-06 to 0.28),0.0024 (2e-05 to 0.15),0.021 (0.00033 to 0.81),0.021 (0.0047 to 0.08),0.066 (0.013 to 1.4),0.021 (0.0021 to 0.23),0.11 (0.018 to 0.64),ppb (posterior median and 95% CrI)
Ratlum Brook,6:2FTS,7e-04 (0.00023 to 0.0019),0.0013 (3.6e-06 to 0.13),0.001 (6.8e-06 to 0.045),0.0075 (0.00015 to 0.31),0.0057 (0.001 to 0.023),0.015 (0.0023 to 0.17),0.0069 (0.00085 to 0.064),0.099 (0.016 to 0.61),ppb (posterior median and 95% CrI)
Russell Brook,6:2FTS,0.016 (0.0083 to 0.027),0.00071 (1.9e-06 to 0.079),0.027 (0.00025 to 1.3),0.083 (0.0017 to 4.2),0.23 (0.056 to 0.8),1.8 (0.41 to 6.2),0.86 (0.091 to 4.7),0.23 (0.039 to 1.5),ppb (posterior median and 95% CrI)
Burr Pond Brook,8:2FTS,2e-04 (3.1e-05 to 0.00096),0.0096 (4.6e-05 to 1.7),0.012 (0.00015 to 0.36),0.012 (0.00023 to 0.47),0.13 (0.036 to 0.41),0.22 (0.02 to 2.1),1.5 (0.17 to 11),0.66 (0.12 to 2.8),ppb (posterior median and 95% CrI)
Hop Brook,8:2FTS,2.1e-05 (2.8e-06 to 0.00012),0.00087 (4e-06 to 0.14),5.5e-05 (6.4e-08 to 0.0028),0.00013 (3.6e-07 to 0.011),0.00065 (0.00013 to 0.0031),0.0026 (0.00025 to 0.27),0.0039 (0.00025 to 0.11),0.0039 (0.00043 to 0.027),ppb (posterior median and 95% CrI)
Pequabuck River,8:2FTS,0.00029 (4.4e-05 to 0.0012),0.003 (1.4e-05 to 0.66),0.002 (1.5e-05 to 0.1),0.016 (0.00023 to 1.2),0.019 (0.004 to 0.072),0.029 (0.0035 to 1.2),0.014 (0.00057 to 0.15),0.11 (0.018 to 0.54),ppb (posterior median and 95% CrI)
Ratlum Brook,8:2FTS,3e-05 (3.6e-06 to 0.00018),0.0021 (6.6e-06 to 0.27),0.00092 (9.1e-06 to 0.026),0.0054 (6.9e-05 to 0.39),0.0054 (0.0011 to 0.022),0.0073 (0.00076 to 0.099),0.0058 (0.00047 to 0.051),0.099 (0.018 to 0.5),ppb (posterior median and 95% CrI)
Russell Brook,8:2FTS,0.0011 (0.00017 to 0.0043),0.001 (6.1e-06 to 0.17),0.024 (0.00036 to 0.84),0.068 (0.0011 to 2.9),0.22 (0.057 to 0.76),0.86 (0.18 to 3.5),0.53 (0.022 to 4.9),0.24 (0.035 to 1.3),ppb (posterior median and 95% CrI)
Burr Pond Brook,PFHxA,0.0021 (0.0013 to 0.003),0.41 (0.1 to 1.3),0.2 (0.02 to 1.3),0.38 (0.045 to 2.1),0.87 (0.44 to 1.5),0.89 (0.19 to 3.8),6 (3.1 to 11),5.2 (3.1 to 8.5),ppb (posterior median and 95% CrI)
Hop Brook,PFHxA,0.00076 (0.00026 to 0.0017),0.044 (0.0066 to 0.28),0.001 (9e-06 to 0.017),0.0045 (4.3e-05 to 0.12),0.0068 (0.0018 to 0.024),0.02 (0.0025 to 3),0.079 (0.011 to 1.2),0.11 (0.021 to 0.38),ppb (posterior median and 95% CrI)
Pequabuck River,PFHxA,0.0024 (0.0016 to 0.0031),0.15 (0.031 to 0.6),0.04 (0.0024 to 0.4),0.51 (0.068 to 2.5),0.18 (0.072 to 0.45),0.24 (0.04 to 6.4),0.3 (0.081 to 0.79),1.8 (0.88 to 3.5),ppb (posterior median and 95% CrI)
Ratlum Brook,PFHxA,0.00078 (0.00034 to 0.0015),0.087 (0.016 to 0.4),0.014 (0.0013 to 0.18),0.17 (0.012 to 1.4),0.054 (0.016 to 0.15),0.045 (0.0099 to 1.2),0.091 (0.024 to 0.31),2 (0.85 to 4),ppb (posterior median and 95% CrI)
Russell Brook,PFHxA,0.0076 (0.0054 to 0.011),0.048 (0.0084 to 0.18),0.39 (0.044 to 3.2),2 (0.31 to 9.2),1.8 (0.76 to 3.6),4.2 (1.7 to 13),9.6 (2.5 to 26),4.2 (1.6 to 8.8),ppb (posterior median and 95% CrI)
Burr Pond Brook,PFHpA,0.0023 (0.0017 to 0.0031),0.81 (0.15 to 3.7),0.019 (0.00018 to 0.97),0.022 (0.00035 to 2),0.19 (0.064 to 0.44),0.25 (0.031 to 1.8),1.9 (0.77 to 4.2),12 (5.9 to 21),ppb (posterior median and 95% CrI)
Hop Brook,PFHpA,0.0013 (0.00057 to 0.0024),0.081 (0.012 to 0.51),9.4e-05 (1.8e-07 to 0.0076),0.00026 (4.5e-07 to 0.055),0.0012 (0.00024 to 0.0043),0.0052 (0.00046 to 1.9),0.0069 (0.00036 to 0.41),0.15 (0.03 to 0.55),ppb (posterior median and 95% CrI)
