pfas_type,Water,Biofilm,Larval,Adult,Tetragnathidae,units
6:2FTS,0.005 (0.0027 to 0.0087),0.082 (0.02 to 0.27),0.62 (0.16 to 2.8),0.56 (0.1 to 3.6),0.22 (0.045 to 1.1),ppb (posterior median and 95% CrI)
8:2FTS,0.00033 (5.5e-05 to 0.0013),0.076 (0.02 to 0.25),0.32 (0.07 to 2.4),0.46 (0.063 to 2.8),0.23 (0.047 to 1),ppb (posterior median and 95% CrI)
PFBS,0.0036 (0.0029 to 0.0045),0.0087 (0.00025 to 0.094),0.065 (0.0019 to 1),0.11 (0.0038 to 1.8),0.052 (0.00095 to 1.4),ppb (posterior median and 95% CrI)
PFDA,0.00074 (3e-04 to 0.0014),0.14 (0.042 to 0.38),1.3 (0.52 to 3.7),1.5 (0.67 to 4),1.3 (0.5 to 2.7),ppb (posterior median and 95% CrI)
PFDoA,0.00074 (0.00022 to 0.002),0.13 (0.037 to 0.39),1.1 (0.38 to 4),0.93 (0.38 to 3.1),1.6 (0.72 to 3.7),ppb (posterior median and 95% CrI)
PFHpA,0.003 (0.0024 to 0.0039),0.12 (0.04 to 0.3),0.62 (0.16 to 3.9),0.53 (0.19 to 2.7),5.2 (2.5 to 10),ppb (posterior median and 95% CrI)
PFHxA,0.0028 (0.0019 to 0.0037),0.59 (0.29 to 1),1.5 (0.55 to 13),3.5 (1.6 to 7.5),2.6 (1.6 to 4.6),ppb (posterior median and 95% CrI)
PFHxS,0.0046 (0.0033 to 0.0066),0.075 (0.027 to 0.22),0.36 (0.13 to 2.7),0.53 (0.27 to 1.2),0.2 (0.098 to 0.4),ppb (posterior median and 95% CrI)
PFNA,0.0021 (0.0012 to 0.0033),1 (0.55 to 1.8),4.1 (2.6 to 6.9),6.9 (4.5 to 11),1.9 (1.1 to 3.1),ppb (posterior median and 95% CrI)
PFOA,0.0047 (0.0034 to 0.0064),1.9 (1.3 to 2.7),5.9 (4.4 to 8.8),6.1 (3.5 to 10),4.6 (3.1 to 6.9),ppb (posterior median and 95% CrI)
PFOS,0.0078 (0.0063 to 0.0096),4.3 (3.4 to 5.3),14 (11 to 17),19 (16 to 25),10 (8 to 13),ppb (posterior median and 95% CrI)
PFUnA,0.00034 (9.4e-05 to 0.00094),1.2 (0.75 to 1.8),3.8 (2.5 to 10),5.7 (3.7 to 10),2.1 (1.3 to 3.3),ppb (posterior median and 95% CrI)
