path,median_cri,units
water --> sediment,1.5 (1.1 to 1.8),partitioning coefficients (median and 95% CrI)
water --> seston,2.1 (1.7 to 2.6),partitioning coefficients (median and 95% CrI)
water --> biofilm,2.1 (1.7 to 2.4),partitioning coefficients (median and 95% CrI)
water --> detritus,1.8 (1.3 to 2.3),partitioning coefficients (median and 95% CrI)
sediment --> larvae,1.2 (0.91 to 1.5),partitioning coefficients (median and 95% CrI)
biofilm --> larvae,0.63 (0.39 to 0.86),partitioning coefficients (median and 95% CrI)
detritus --> larvae,0.94 (0.44 to 1.3),partitioning coefficients (median and 95% CrI)
seston --> larvae,0.57 (0.11 to 0.94),partitioning coefficients (median and 95% CrI)
larvae --> emergent,0.19 (-0.11 to 0.52),partitioning coefficients (median and 95% CrI)
emergent --> spider,-0.12 (-0.51 to 0.25),partitioning coefficients (median and 95% CrI)
