category,pfas_type,a_kd_sediment_ttf,a2_kd_seston_ttf,b_kd_biofilm_ttf,b2_kd_detritus_ttf,c_baf_sediment_ttf,d_baf_biofilm_ttf,e_baf_detritus_ttf,f_baf_seston_ttf,g_mtf_ttf,h_ttf_ttf
PFCAs,PFDA,14.6 (0.8 to 131.2),47.5 (6.1 to 327.1),102.3 (42.1 to 246.6),14 (1.6 to 87.7),13 (1 to 271.4),2.1 (0.8 to 5),17 (2.5 to 161.9),5.3 (0.7 to 47),1.6 (0.5 to 5.2),6.2 (1.6 to 28.9)
PFCAs,PFDoA,16.7 (0.9 to 173),49.8 (5.5 to 390.8),91.7 (34.3 to 257),11.4 (1 to 82.3),6.3 (0.5 to 138.4),1.2 (0.4 to 3.1),10.6 (1.3 to 113.7),2.5 (0.3 to 23.6),1.6 (0.4 to 6.4),15.1 (3.5 to 81.6)
PFCAs,PFHpA,54.2 (18 to 151.7),9 (0.8 to 82.8),12.6 (6.2 to 25.1),1.8 (0.2 to 13),0.2 (0 to 0.8),0.8 (0.3 to 2.2),6.8 (0.7 to 78),1.8 (0.1 to 23.4),1.8 (0.4 to 7.9),73.5 (15.7 to 412.6)
PFCAs,PFHxA,109.8 (45.1 to 234.5),174.1 (70.5 to 426.1),90.3 (51.4 to 161.4),25.4 (6.3 to 92.3),0.7 (0.2 to 2.1),0.8 (0.3 to 1.7),3.3 (0.7 to 13.7),0.6 (0.2 to 2.1),5.1 (1.8 to 14),2.3 (0.8 to 7.7)
PFCAs,PFNA,19.3 (1.6 to 139.7),292.8 (103 to 790.4),290.6 (150.4 to 536.6),91.8 (24.5 to 308.2),22.7 (2.9 to 272),1.7 (1 to 3.2),6.1 (1.7 to 21.4),2.3 (0.7 to 7.3),2.4 (1.1 to 4.6),1.1 (0.4 to 3.3)
PFCAs,PFOA,84.5 (33.2 to 194.7),416.9 (212.6 to 771.6),279 (181.4 to 417.2),30.9 (3.6 to 143),5.6 (2.5 to 14.5),1.8 (1.1 to 3),16.8 (3.5 to 145.1),1.4 (0.7 to 3),1.2 (0.5 to 2.4),2.8 (0.9 to 6.3)
PFCAs,PFUnA,177.6 (14.7 to 1530.7),271.5 (77.5 to 1050.5),3069.5 (1423.4 to 7011.4),334.5 (36.8 to 1989.4),23.4 (3.1 to 282.1),1.3 (0.8 to 2.1),11.6 (2.3 to 103.7),15.8 (4.4 to 50.5),1.5 (0.6 to 3.2),2.2 (0.7 to 6.9)
PFSAs,PFBS,0.2 (0 to 2.9),0.4 (0 to 4.6),0.6 (0.1 to 2.5),0.1 (0 to 1.2),2.5 (0.1 to 94.4),1 (0.3 to 3.6),8 (0.6 to 101.3),2.4 (0.2 to 31.8),2 (0.4 to 10.7),4.9 (0.6 to 47.1)
PFSAs,PFHxS,0.7 (0 to 8.7),4.2 (0.4 to 39.4),5.6 (2.6 to 11.9),0.9 (0.1 to 6.3),10.7 (0.7 to 209.5),1.9 (0.7 to 4.4),13.9 (1.7 to 137.5),4 (0.3 to 44.1),2.1 (0.6 to 5.6),2 (0.5 to 9.4)
PFSAs,PFOS,127 (85.1 to 182.9),322.7 (243.2 to 429.6),554.1 (456.1 to 671.3),251.2 (181.6 to 345.2),12.2 (8.1 to 19.5),2.5 (2 to 3.2),5.6 (4 to 8.1),4.6 (3.3 to 6.3),1.2 (0.9 to 1.7),0.6 (0.5 to 0.9)
FTSA,6:2FTS,1.1 (0.1 to 12.5),3.9 (0.4 to 30.7),6.8 (2.4 to 18.1),1 (0.1 to 7.8),13.5 (0.8 to 271.6),2.2 (0.7 to 6.4),16.9 (2 to 178.1),4.8 (0.5 to 53.1),1.2 (0.3 to 4.1),2.2 (0.5 to 11)
