category,pfas_type,baf_biof_ephem,baf_detr_pleco,baf_sest_trich
PFCAs,PFDA,1.1 (0 to 131.1),280.9 (1.3 to 60028.9),1.6 (0 to 699.7)
PFCAs,PFDoA,1.6 (0 to 239.9),411.3 (2.3 to 111522.1),1.7 (0 to 1183.9)
PFCAs,PFHpA,0.6 (0 to 136.8),7.4 (0 to 5573.9),3.3 (0 to 2351.4)
PFCAs,PFHxA,0.8 (0 to 111.4),4.6 (0 to 388.4),0.5 (0 to 46.9)
PFCAs,PFNA,0.8 (0 to 70.8),28.2 (0.2 to 1096.9),1.2 (0 to 115)
PFCAs,PFOA,30.1 (5.5 to 402.6),144.6 (3.9 to 57082.5),0.7 (0.1 to 65.4)
PFCAs,PFUnA,0.5 (0 to 83.8),76.3 (0.3 to 17110.8),16.4 (0.6 to 1735.6)
PFSAs,PFBS,0.6 (0 to 444.1),9.2 (0 to 24177.9),2 (0 to 1083.6)
PFSAs,PFHxS,0.8 (0 to 125.7),72.8 (0.1 to 33050.3),0.8 (0 to 442.3)
PFSAs,PFOS,9.5 (1.4 to 28.1),26 (5.7 to 397.9),2.9 (0.9 to 79.7)
FTSA,6:2FTS,1.1 (0 to 263.7),18.5 (0 to 12433.8),5.1 (0 to 4303)
